FlightDate,Day_Of_Week,Airline,Tail_Number,Dep_Airport,Dep_CityName,DepTime_label,Dep_Delay,Dep_Delay_Tag,Dep_Delay_Type,Arr_Airport,Arr_CityName,Arr_Delay,Arr_Delay_Type,Flight_Duration,Distance_type,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Manufacturer,Model,Aicraft_age
1/2/2023,1,Endeavor Air,N605LR,BDL,"Hartford, CT",Morning,-3,0,Low <5min,LGA,"New York, NY",-12,Low <5min,56,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/3/2023,2,Endeavor Air,N605LR,BDL,"Hartford, CT",Morning,-5,0,Low <5min,LGA,"New York, NY",-8,Low <5min,62,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/4/2023,3,Endeavor Air,N331PQ,BDL,"Hartford, CT",Morning,-5,0,Low <5min,LGA,"New York, NY",-21,Low <5min,49,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/5/2023,4,Endeavor Air,N906XJ,BDL,"Hartford, CT",Morning,-6,0,Low <5min,LGA,"New York, NY",-17,Low <5min,54,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,17
1/6/2023,5,Endeavor Air,N337PQ,BDL,"Hartford, CT",Morning,-1,0,Low <5min,LGA,"New York, NY",-16,Low <5min,50,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/7/2023,6,Endeavor Air,N336PQ,BDL,"Hartford, CT",Morning,-10,0,Low <5min,LGA,"New York, NY",-13,Low <5min,62,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/14/2023,6,Endeavor Air,N311PQ,LGA,"New York, NY",Afternoon,-8,0,Low <5min,CVG,"Cincinnati, OH",-31,Low <5min,117,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/21/2023,6,Endeavor Air,N917XJ,LGA,"New York, NY",Afternoon,-10,0,Low <5min,CVG,"Cincinnati, OH",-25,Low <5min,125,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/28/2023,6,Endeavor Air,N336PQ,LGA,"New York, NY",Afternoon,-5,0,Low <5min,CVG,"Cincinnati, OH",-15,Low <5min,130,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/9/2023,1,Endeavor Air,N491PX,LGA,"New York, NY",Evening,-7,0,Low <5min,BGM,"Binghamton, NY",-3,Low <5min,63,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,4
1/10/2023,2,Endeavor Air,N478PX,LGA,"New York, NY",Evening,-15,0,Low <5min,BGM,"Binghamton, NY",6,Low <5min,80,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,5
1/11/2023,3,Endeavor Air,N135EV,LGA,"New York, NY",Evening,35,1,Medium >15min,BGM,"Binghamton, NY",61,Hight >60min,85,Short Haul >1500Mi,0,0,26,0,35,CANADAIR REGIONAL JET,CRJ,15
1/12/2023,4,Endeavor Air,N197PQ,LGA,"New York, NY",Evening,132,1,Hight >60min,BGM,"Binghamton, NY",132,Hight >60min,59,Short Haul >1500Mi,50,0,0,0,82,CANADAIR REGIONAL JET,CRJ,16
1/13/2023,5,Endeavor Air,N915XJ,LGA,"New York, NY",Evening,-5,0,Low <5min,BGM,"Binghamton, NY",34,Medium >15min,98,Short Haul >1500Mi,0,0,34,0,0,CANADAIR REGIONAL JET,CRJ,17
1/15/2023,7,Endeavor Air,N920XJ,LGA,"New York, NY",Evening,5,1,Low <5min,BGM,"Binghamton, NY",4,Low <5min,58,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/16/2023,1,Endeavor Air,N916XJ,LGA,"New York, NY",Evening,-3,0,Low <5min,BGM,"Binghamton, NY",14,Low <5min,76,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/17/2023,2,Endeavor Air,N902XJ,LGA,"New York, NY",Evening,15,1,Low <5min,BGM,"Binghamton, NY",40,Medium >15min,84,Short Haul >1500Mi,0,0,40,0,0,CANADAIR REGIONAL JET,CRJ,17
1/18/2023,3,Endeavor Air,N491PX,LGA,"New York, NY",Evening,-7,0,Low <5min,BGM,"Binghamton, NY",-2,Low <5min,64,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,4
1/19/2023,4,Endeavor Air,N691CA,LGA,"New York, NY",Evening,676,1,Hight >60min,BGM,"Binghamton, NY",673,Hight >60min,56,Short Haul >1500Mi,0,667,0,0,6,CANADAIR REGIONAL JET,CRJ,17
1/20/2023,5,Endeavor Air,N904XJ,LGA,"New York, NY",Evening,-10,0,Low <5min,BGM,"Binghamton, NY",36,Medium >15min,105,Short Haul >1500Mi,0,0,36,0,0,CANADAIR REGIONAL JET,CRJ,17
1/22/2023,7,Endeavor Air,N310PQ,LGA,"New York, NY",Evening,29,1,Medium >15min,BGM,"Binghamton, NY",47,Medium >15min,77,Short Haul >1500Mi,29,0,18,0,0,CANADAIR REGIONAL JET,CRJ,10
1/23/2023,1,Endeavor Air,N917XJ,LGA,"New York, NY",Evening,27,1,Medium >15min,BGM,"Binghamton, NY",22,Medium >15min,54,Short Haul >1500Mi,0,0,0,0,22,CANADAIR REGIONAL JET,CRJ,16
1/24/2023,2,Endeavor Air,N182GJ,LGA,"New York, NY",Evening,-3,0,Low <5min,BGM,"Binghamton, NY",-18,Low <5min,44,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/25/2023,3,Endeavor Air,N490PX,LGA,"New York, NY",Evening,50,1,Medium >15min,BGM,"Binghamton, NY",61,Hight >60min,70,Short Haul >1500Mi,25,0,11,0,25,CANADAIR REGIONAL JET,CRJ,4
1/26/2023,4,Endeavor Air,N134EV,LGA,"New York, NY",Evening,-13,0,Low <5min,BGM,"Binghamton, NY",-3,Low <5min,69,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/27/2023,5,Endeavor Air,N919XJ,LGA,"New York, NY",Evening,-11,0,Low <5min,BGM,"Binghamton, NY",-4,Low <5min,66,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/29/2023,7,Endeavor Air,N485PX,LGA,"New York, NY",Evening,-19,0,Low <5min,BGM,"Binghamton, NY",-17,Low <5min,61,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,4
1/30/2023,1,Endeavor Air,N491PX,LGA,"New York, NY",Evening,-10,0,Low <5min,BGM,"Binghamton, NY",-6,Low <5min,63,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,4
1/31/2023,2,Endeavor Air,N485PX,LGA,"New York, NY",Evening,16,1,Medium >15min,BGM,"Binghamton, NY",10,Low <5min,53,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,4
1/1/2023,7,Endeavor Air,N906XJ,DLH,"Duluth, MN",Night,6,1,Low <5min,MSP,"Minneapolis, MN",24,Medium >15min,94,Short Haul >1500Mi,6,0,18,0,0,CANADAIR REGIONAL JET,CRJ,17
1/2/2023,1,Endeavor Air,N197PQ,DLH,"Duluth, MN",Night,-8,0,Low <5min,MSP,"Minneapolis, MN",-4,Low <5min,80,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/9/2023,1,Endeavor Air,N181GJ,ATL,"Atlanta, GA",Afternoon,-3,0,Low <5min,FAY,"Fayetteville, NC",-12,Low <5min,67,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/10/2023,2,Endeavor Air,N937XJ,ATL,"Atlanta, GA",Afternoon,-5,0,Low <5min,FAY,"Fayetteville, NC",-12,Low <5min,69,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/11/2023,3,Endeavor Air,N604LR,ATL,"Atlanta, GA",Afternoon,-2,0,Low <5min,FAY,"Fayetteville, NC",-7,Low <5min,71,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/12/2023,4,Endeavor Air,N371CA,ATL,"Atlanta, GA",Afternoon,16,1,Medium >15min,FAY,"Fayetteville, NC",11,Low <5min,71,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,21
1/13/2023,5,Endeavor Air,N324PQ,ATL,"Atlanta, GA",Afternoon,-3,0,Low <5min,FAY,"Fayetteville, NC",-8,Low <5min,71,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/14/2023,6,Endeavor Air,N316PQ,ATL,"Atlanta, GA",Afternoon,-1,0,Low <5min,FAY,"Fayetteville, NC",-4,Low <5min,73,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/15/2023,7,Endeavor Air,N197PQ,ATL,"Atlanta, GA",Afternoon,-3,0,Low <5min,FAY,"Fayetteville, NC",-7,Low <5min,72,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/16/2023,1,Endeavor Air,N907XJ,ATL,"Atlanta, GA",Afternoon,-3,0,Low <5min,FAY,"Fayetteville, NC",-9,Low <5min,70,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,17
1/17/2023,2,Endeavor Air,N186PQ,ATL,"Atlanta, GA",Afternoon,-5,0,Low <5min,FAY,"Fayetteville, NC",-7,Low <5min,74,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/18/2023,3,Endeavor Air,N601LR,ATL,"Atlanta, GA",Afternoon,-5,0,Low <5min,FAY,"Fayetteville, NC",-17,Low <5min,64,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,17
1/19/2023,4,Endeavor Air,N135EV,ATL,"Atlanta, GA",Afternoon,-5,0,Low <5min,FAY,"Fayetteville, NC",-11,Low <5min,70,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/20/2023,5,Endeavor Air,N292PQ,ATL,"Atlanta, GA",Afternoon,0,0,Low <5min,FAY,"Fayetteville, NC",-7,Low <5min,69,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,11
1/21/2023,6,Endeavor Air,N279PQ,ATL,"Atlanta, GA",Afternoon,-6,0,Low <5min,FAY,"Fayetteville, NC",-23,Low <5min,59,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,11
1/22/2023,7,Endeavor Air,N601LR,ATL,"Atlanta, GA",Afternoon,-2,0,Low <5min,FAY,"Fayetteville, NC",-2,Low <5min,76,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,17
1/23/2023,1,Endeavor Air,N606LR,ATL,"Atlanta, GA",Afternoon,-1,0,Low <5min,FAY,"Fayetteville, NC",-10,Low <5min,67,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/24/2023,2,Endeavor Air,N295PQ,ATL,"Atlanta, GA",Afternoon,-5,0,Low <5min,FAY,"Fayetteville, NC",-15,Low <5min,66,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,11
1/25/2023,3,Endeavor Air,N313PQ,ATL,"Atlanta, GA",Afternoon,10,1,Low <5min,FAY,"Fayetteville, NC",11,Low <5min,77,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
